bet_type,data_status,payout_per_100_yen,payout_popularity,race_date,race_id,source_url,winning_selection
馬単,PASS_HTML,2130,7,2026-08-02,pw01sde0104202602040120260802,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,7-5
3連複,PASS_HTML,1220,2,2026-08-02,pw01sde0104202602040120260802,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,4-5-7
3連単,PASS_HTML,6610,10,2026-08-02,pw01sde0104202602040120260802,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,7-5-4
単勝,PASS_HTML,550,4,2026-08-01,pw01sde1001202601030220260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,6
複勝,PASS_HTML,170,4,2026-08-01,pw01sde1001202601030220260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,6
複勝,PASS_HTML,140,2,2026-08-01,pw01sde1001202601030220260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,4
複勝,PASS_HTML,140,3,2026-08-01,pw01sde1001202601030220260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,2
枠連,PASS_HTML,1650,7,2026-08-01,pw01sde1001202601030220260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,4-6
ワイド,PASS_HTML,440,6,2026-08-01,pw01sde1001202601030220260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,4-6
ワイド,PASS_HTML,370,5,2026-08-01,pw01sde1001202601030220260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,2-6
ワイド,PASS_HTML,260,1,2026-08-01,pw01sde1001202601030220260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,2-4
馬連,PASS_HTML,1310,6,2026-08-01,pw01sde1001202601030220260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,4-6
馬単,PASS_HTML,2060,11,2026-08-01,pw01sde1001202601030220260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,6-4
3連複,PASS_HTML,1080,3,2026-08-01,pw01sde1001202601030220260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,2-4-6
3連単,PASS_HTML,7550,25,2026-08-01,pw01sde1001202601030220260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,6-4-2
単勝,QUARANTINED_HTML:track_condition,640,4,2026-08-01,pw01sde1001202601030320260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,8
複勝,QUARANTINED_HTML:track_condition,170,3,2026-08-01,pw01sde1001202601030320260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,8
複勝,QUARANTINED_HTML:track_condition,170,4,2026-08-01,pw01sde1001202601030320260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,11
複勝,QUARANTINED_HTML:track_condition,130,1,2026-08-01,pw01sde1001202601030320260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,5
枠連,QUARANTINED_HTML:track_condition,1000,4,2026-08-01,pw01sde1001202601030320260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,7-8
ワイド,QUARANTINED_HTML:track_condition,460,6,2026-08-01,pw01sde1001202601030320260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,8-11
ワイド,QUARANTINED_HTML:track_condition,430,5,2026-08-01,pw01sde1001202601030320260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,5-8
ワイド,QUARANTINED_HTML:track_condition,400,4,2026-08-01,pw01sde1001202601030320260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,5-11
馬連,QUARANTINED_HTML:track_condition,1570,8,2026-08-01,pw01sde1001202601030320260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,8-11
馬単,QUARANTINED_HTML:track_condition,2960,14,2026-08-01,pw01sde1001202601030320260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,8-11
