bet_type,data_status,payout_per_100_yen,payout_popularity,race_date,race_id,source_url,winning_selection
単勝,QUARANTINED_HTML:track_condition,380,2,2026-08-16,pw01sde0101202601080120260816,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,10
複勝,QUARANTINED_HTML:track_condition,170,2,2026-08-16,pw01sde0101202601080120260816,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,10
複勝,QUARANTINED_HTML:track_condition,290,5,2026-08-16,pw01sde0101202601080120260816,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,3
複勝,QUARANTINED_HTML:track_condition,960,7,2026-08-16,pw01sde0101202601080120260816,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,14
枠連,QUARANTINED_HTML:track_condition,2070,8,2026-08-16,pw01sde0101202601080120260816,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,3-6
ワイド,QUARANTINED_HTML:track_condition,720,8,2026-08-16,pw01sde0101202601080120260816,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,3-10
ワイド,QUARANTINED_HTML:track_condition,1990,16,2026-08-16,pw01sde0101202601080120260816,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,10-14
ワイド,QUARANTINED_HTML:track_condition,4480,32,2026-08-16,pw01sde0101202601080120260816,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,3-14
馬連,QUARANTINED_HTML:track_condition,2260,8,2026-08-16,pw01sde0101202601080120260816,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,3-10
馬単,QUARANTINED_HTML:track_condition,3660,14,2026-08-16,pw01sde0101202601080120260816,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,10-3
3連複,QUARANTINED_HTML:track_condition,24150,53,2026-08-16,pw01sde0101202601080120260816,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,3-10-14
3連単,QUARANTINED_HTML:track_condition,78370,179,2026-08-16,pw01sde0101202601080120260816,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,10-3-14
単勝,QUARANTINED_HTML:track_condition,210,1,2026-08-15,pw01sde0101202601070120260815,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,3
複勝,QUARANTINED_HTML:track_condition,130,1,2026-08-15,pw01sde0101202601070120260815,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,3
複勝,QUARANTINED_HTML:track_condition,240,4,2026-08-15,pw01sde0101202601070120260815,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,12
複勝,QUARANTINED_HTML:track_condition,1100,10,2026-08-15,pw01sde0101202601070120260815,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,1
枠連,QUARANTINED_HTML:track_condition,1190,4,2026-08-15,pw01sde0101202601070120260815,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,3-7
ワイド,QUARANTINED_HTML:track_condition,500,4,2026-08-15,pw01sde0101202601070120260815,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,3-12
ワイド,QUARANTINED_HTML:track_condition,2460,26,2026-08-15,pw01sde0101202601070120260815,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,1-3
ワイド,QUARANTINED_HTML:track_condition,4710,37,2026-08-15,pw01sde0101202601070120260815,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,1-12
馬連,QUARANTINED_HTML:track_condition,1020,3,2026-08-15,pw01sde0101202601070120260815,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,3-12
馬単,QUARANTINED_HTML:track_condition,1640,5,2026-08-15,pw01sde0101202601070120260815,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,3-12
3連複,QUARANTINED_HTML:track_condition,16240,49,2026-08-15,pw01sde0101202601070120260815,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,1-3-12
3連単,QUARANTINED_HTML:track_condition,47140,156,2026-08-15,pw01sde0101202601070120260815,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,3-12-1
単勝,QUARANTINED_HTML:track_condition,1870,6,2026-08-15,pw01sde0107202602070120260815,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,16
