bet_type,data_status,payout_per_100_yen,payout_popularity,race_date,race_id,source_url,winning_selection
単勝,PASS_HTML,140,1,2026-08-08,pw01sde0107202602050120260808,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,9
複勝,PASS_HTML,100,1,2026-08-08,pw01sde0107202602050120260808,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,9
複勝,PASS_HTML,120,3,2026-08-08,pw01sde0107202602050120260808,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,1
複勝,PASS_HTML,100,2,2026-08-08,pw01sde0107202602050120260808,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,4
枠連,PASS_HTML,550,2,2026-08-08,pw01sde0107202602050120260808,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,1-8
ワイド,PASS_HTML,170,2,2026-08-08,pw01sde0107202602050120260808,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,1-9
ワイド,PASS_HTML,130,1,2026-08-08,pw01sde0107202602050120260808,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,4-9
ワイド,PASS_HTML,310,5,2026-08-08,pw01sde0107202602050120260808,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,1-4
馬連,PASS_HTML,490,2,2026-08-08,pw01sde0107202602050120260808,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,1-9
馬単,PASS_HTML,550,3,2026-08-08,pw01sde0107202602050120260808,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,9-1
3連複,PASS_HTML,410,1,2026-08-08,pw01sde0107202602050120260808,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,1-4-9
3連単,PASS_HTML,1240,3,2026-08-08,pw01sde0107202602050120260808,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,9-1-4
単勝,QUARANTINED_HTML:track_condition,780,3,2026-08-09,pw01sde0101202601060120260809,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,10
複勝,QUARANTINED_HTML:track_condition,210,3,2026-08-09,pw01sde0101202601060120260809,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,10
複勝,QUARANTINED_HTML:track_condition,110,1,2026-08-09,pw01sde0101202601060120260809,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,12
複勝,QUARANTINED_HTML:track_condition,610,9,2026-08-09,pw01sde0101202601060120260809,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,4
枠連,QUARANTINED_HTML:track_condition,470,2,2026-08-09,pw01sde0101202601060120260809,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,7-8
