body_weight_delta,carried_weight,corner_positions,course,data_status,distance_m,finish_position,horse_id,horse_name,horse_no,jockey,last3f,margin,meeting_day,meeting_no,popularity,race_category,race_class,race_date,race_id,race_name,race_no,race_rule,rating,scheduled_start,sex_age,source_url,surface,time,track_condition,trainer,weather,weight_rule,平均1F,枠
434(-8),52.0,1  1,札幌,QUARANTINED_HTML:track_condition,1000,1,pw01dud102023102748/56,ドリームガッサン,7,▲小林 美駒,35.5,,03,01,1,3歳,未勝利,2026-08-01,pw01sde0101202601030120260801,3歳未勝利,01,[指定],,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,ダート,0:59.0,,鈴木 伸尋,曇,馬齢,,
428(-4),53.0,9  7,札幌,QUARANTINED_HTML:track_condition,1000,2,pw01dud102023104847/F2,フェアリーキャット,5,◇古川 奈穂,35.2,３,03,01,6,3歳,未勝利,2026-08-01,pw01sde0101202601030120260801,3歳未勝利,01,[指定],,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,ダート,0:59.5,,鈴木 慎太郎,曇,馬齢,,
486(+2),57.0,10  9,札幌,QUARANTINED_HTML:track_condition,1000,3,pw01dud102023104377/2D,ナブッコ,3,横山 武史,35.0,１／２,03,01,4,3歳,未勝利,2026-08-01,pw01sde0101202601030120260801,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,ダート,0:59.6,,橋田 宜長,曇,馬齢,,
458(0),54.0,3  3,札幌,QUARANTINED_HTML:track_condition,1000,4,pw01dud102023102999/7B,ペイシャクロス,4,☆長浜 鴻緒,35.9,アタマ,03,01,10,3歳,未勝利,2026-08-01,pw01sde0101202601030120260801,3歳未勝利,01,[指定],,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,ダート,0:59.6,,粕谷 昌央,曇,馬齢,,
470(+6),56.0,7  8,札幌,QUARANTINED_HTML:track_condition,1000,5,pw01dud102023106556/DA,サンライズロイ,1,☆舟山 瑠泉,35.9,２,03,01,3,3歳,未勝利,2026-08-01,pw01sde0101202601030120260801,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,ダート,1:00.0,,牧浦 充徳,曇,馬齢,,
472(-4),54.0,3  5,札幌,QUARANTINED_HTML:track_condition,1000,6,pw01dud102023104180/B6,ヒューザー,6,▲和田 陽希,36.2,ハナ,03,01,8,3歳,未勝利,2026-08-01,pw01sde0101202601030120260801,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,ダート,1:00.0,,小林 真也,曇,馬齢,,
454(初出走),55.0,2  2,札幌,QUARANTINED_HTML:track_condition,1000,7,pw01dud102023102628/05,アトラップモア,8,佐々木 大輔,36.4,アタマ,03,01,7,3歳,未勝利,2026-08-01,pw01sde0101202601030120260801,3歳未勝利,01,[指定],,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,ダート,1:00.0,,堀 宣行,曇,馬齢,,
458(+8),55.0,3  3,札幌,QUARANTINED_HTML:track_condition,1000,8,pw01dud102023102480/6B,サンタクローチェ,10,荻野 琢真,36.4,１ 1/4,03,01,11,3歳,未勝利,2026-08-01,pw01sde0101202601030120260801,3歳未勝利,01,[指定],,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,ダート,1:00.2,,西村 真幸,曇,馬齢,,
528(0),57.0,6  6,札幌,QUARANTINED_HTML:track_condition,1000,9,pw01dud102023100596/80,ジャーナーリア,11,池添 謙一,36.7,２ 1/2,03,01,2,3歳,未勝利,2026-08-01,pw01sde0101202601030120260801,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,ダート,1:00.6,,本田 優,曇,馬齢,,
390(0),51.0,7  9,札幌,QUARANTINED_HTML:track_condition,1000,10,pw01dud102023100977/97,コシタンタン,9,★河原田 菜々,36.6,クビ,03,01,9,3歳,未勝利,2026-08-01,pw01sde0101202601030120260801,3歳未勝利,01,[指定],,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,ダート,1:00.7,,竹内 正洋,曇,馬齢,,
460(+2),55.0,12  11,札幌,QUARANTINED_HTML:track_condition,1000,11,pw01dud102023100285/6A,アルデバローズ,2,丹内 祐次,35.9,ハナ,03,01,5,3歳,未勝利,2026-08-01,pw01sde0101202601030120260801,3歳未勝利,01,[指定],,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,ダート,1:00.7,,矢野 英一,曇,馬齢,,
432(+10),52.0,10  12,札幌,QUARANTINED_HTML:track_condition,1000,12,pw01dud102023102960/40,ペルヴォルム,12,▲遠藤 汰月,37.8,１０,03,01,12,3歳,未勝利,2026-08-01,pw01sde0101202601030120260801,3歳未勝利,01,[指定],,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,ダート,1:02.4,,加藤 和宏,曇,馬齢,,
432(-2),55.0,3  3  4  3,札幌,QUARANTINED_HTML:track_condition,1700,1,pw01dud102023104384/E4,ローゾフィア,5,荻野 琢真,38.4,,04,01,8,3歳,未勝利,2026-08-02,pw01sde0101202601040120260802,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,ダート,1:45.8,,宮本 博,晴,馬齢,,
