course,data_status,distance_m,field_size,race_category,race_class,race_date,race_id,race_name,race_no,race_rule,scheduled_start,source_url,surface,track_condition,weather,weight_rule
札幌,PASS_HTML,1200,16,3歳以上,2勝クラス,2026-08-30,pw01sde1001202602041020260830,HBC賞,10,（混合）［指定］,14時50分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602041020260830%2FE1,芝,良,晴,ハンデ
札幌,PASS_HTML,2600,14,3歳以上,1勝クラス,2026-08-30,pw01sde1001202602041220260830,北辰特別,12,（混合）（特指）,16時01分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602041220260830%2F4B,芝,良,曇,定量
札幌,PASS_HTML,1500,14,3歳以上,3勝クラス,2026-08-30,pw01sde1001202602041120260830,日高ステークス,11,（混合）（特指）,15時25分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602041120260830%2F96,芝,良,曇,定量
新潟,PASS_HTML,1600,11,2歳,未勝利,2026-08-29,pw01sde1004202603030320260829,2歳未勝利,03,（混合）［指定］,10時45分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030320260829%2F95,芝,良,小雨,馬齢
新潟,PASS_HTML,1400,18,2歳,新馬,2026-08-29,pw01sde1004202603030420260829,メイクデビュー新潟,04,（混合）［指定］,11時15分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030420260829%2F4A,芝,良,小雨,馬齢
新潟,PASS_HTML,2200,18,3歳,未勝利,2026-08-29,pw01sde1004202603030520260829,3歳未勝利,05,（混合）［指定］,11時45分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030520260829%2FFF,芝,稍重,小雨,馬齢
新潟,QUARANTINED_HTML:track_condition,1800,15,3歳以上,1勝クラス,2026-08-29,pw01sde1004202603030620260829,新発田城特別,06,（混合）［指定］,14時35分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030620260829%2FB4,ダート,,小雨,定量
新潟,PASS_HTML,2000,17,3歳以上,2勝クラス,2026-08-29,pw01sde1004202603030720260829,赤倉特別,07,（混合）［指定］,15時10分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030720260829%2F69,芝,稍重,曇,ハンデ
新潟,PASS_HTML,2200,13,3歳以上,1勝クラス,2026-08-29,pw01sde1004202603030920260829,3歳以上1勝クラス,09,（混合）（特指）,16時25分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030920260829%2FD3,芝,稍重,曇,定量
新潟,QUARANTINED_HTML:track_condition,1800,11,3歳以上,オープン,2026-08-29,pw01sde1004202603030820260829,BSN賞,08,（国際）（特指）,15時45分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030820260829%2F1E,ダート,,曇,別定
新潟,PASS_HTML,2000,18,3歳,未勝利,2026-08-29,pw01sde1004202603031120260829,3歳未勝利,11,[指定],17時30分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603031120260829%2F7D,芝,稍重,曇,馬齢
新潟,PASS_HTML,1400,18,3歳以上,1勝クラス,2026-08-29,pw01sde1004202603031020260829,3歳以上1勝クラス,10,（混合）［指定］,17時00分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603031020260829%2FC8,芝,稍重,曇,定量
新潟,QUARANTINED_HTML:track_condition,1200,15,3歳,未勝利,2026-08-29,pw01sde1004202603031220260829,3歳未勝利,12,[指定],18時05分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603031220260829%2F32,ダート,,曇,馬齢
新潟,PASS_HTML,1800,11,2歳,新馬,2026-08-30,pw01sde1004202603040420260830,メイクデビュー新潟,04,[指定],11時15分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603040420260830%2F72,芝,良,曇,馬齢
新潟,QUARANTINED_HTML:track_condition,1800,13,2歳,新馬,2026-08-30,pw01sde1004202603040220260830,メイクデビュー新潟,02,（混合）［指定］,10時15分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603040220260830%2F08,ダート,,晴,馬齢
新潟,PASS_HTML,2000,8,2歳,未勝利,2026-08-30,pw01sde1004202603040320260830,2歳未勝利,03,（混合）［指定］,10時45分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603040320260830%2FBD,芝,良,曇,馬齢
新潟,PASS_HTML,1400,18,3歳,未勝利,2026-08-30,pw01sde1004202603040520260830,3歳未勝利,05,（混合）［指定］,11時45分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603040520260830%2F27,芝,良,曇,馬齢
新潟,PASS_HTML,2200,12,3歳以上,3勝クラス,2026-08-30,pw01sde1004202603040720260830,日本海ステークス,07,（混合）（特指）,15時10分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603040720260830%2F91,芝,良,曇,定量
新潟,QUARANTINED_HTML:track_condition,1800,15,3歳以上,2勝クラス,2026-08-30,pw01sde1004202603040620260830,両津湾特別,06,（混合）（特指）,14時35分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603040620260830%2FDC,ダート,,曇,定量
新潟,PASS_HTML,1000,18,3歳以上,2勝クラス,2026-08-30,pw01sde1004202603040920260830,閃光特別,09,（混合）［指定］,16時25分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603040920260830%2FFB,芝,稍重,雨,定量
新潟,PASS_HTML,2000,11,3歳以上,オープン,2026-08-30,pw01sde1004202603040820260830,農林水産省賞典 新潟記念,08,（国際）（特指）,15時45分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603040820260830%2F46,芝,稍重,雨,別定
新潟,QUARANTINED_HTML:track_condition,1800,15,3歳,未勝利,2026-08-30,pw01sde1004202603041020260830,3歳未勝利,10,（混合）［指定］,17時00分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603041020260830%2FF0,ダート,,曇,馬齢
新潟,PASS_HTML,1800,14,3歳以上,1勝クラス,2026-08-30,pw01sde1004202603041120260830,3歳以上1勝クラス,11,牝［指定］,17時30分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603041120260830%2FA5,芝,稍重,曇,定量
新潟,QUARANTINED_HTML:track_condition,1200,15,3歳以上,1勝クラス,2026-08-30,pw01sde1004202603041220260830,3歳以上1勝クラス,12,[指定],18時05分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603041220260830%2F5A,ダート,,曇,定量
中京,QUARANTINED_HTML:track_condition,1800,12,2歳,未勝利,2026-08-29,pw01sde1007202603030220260829,2歳未勝利,02,（混合）［指定］,10時25分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603030220260829%2FBE,ダート,,曇,馬齢
中京,PASS_HTML,2200,16,3歳,未勝利,2026-08-29,pw01sde1007202603030420260829,3歳未勝利,04,[指定],11時25分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603030420260829%2F28,芝,良,曇,馬齢
中京,PASS_HTML,1400,12,2歳,新馬,2026-08-29,pw01sde1007202603030320260829,メイクデビュー中京,03,牝［指定］,10時55分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603030320260829%2F73,芝,良,曇,馬齢
中京,PASS_HTML,2000,13,3歳,未勝利,2026-08-29,pw01sde1007202603030520260829,3歳未勝利,05,（混合）［指定］,11時55分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603030520260829%2FDD,芝,良,曇,馬齢
中京,QUARANTINED_HTML:track_condition,1200,13,3歳以上,2勝クラス,2026-08-29,pw01sde1007202603030620260829,清洲特別,06,（混合）［指定］,15時01分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603030620260829%2F92,ダート,,曇,定量
中京,PASS_HTML,1400,15,3歳以上,3勝クラス,2026-08-29,pw01sde1007202603030720260829,長篠ステークス,07,（混合）（特指）,15時35分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603030720260829%2F47,芝,良,曇,定量
中京,PASS_HTML,1400,14,3歳以上,2勝クラス,2026-08-29,pw01sde1007202603030820260829,桑名特別,08,（混合）［指定］,16時10分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603030820260829%2FFC,芝,良,曇,定量
中京,QUARANTINED_HTML:track_condition,1400,16,3歳以上,1勝クラス,2026-08-29,pw01sde1007202603031020260829,3歳以上1勝クラス,10,（混合）［指定］,17時15分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603031020260829%2FA6,ダート,,曇,定量
中京,QUARANTINED_HTML:track_condition,1800,9,3歳以上,1勝クラス,2026-08-29,pw01sde1007202603030920260829,3歳以上1勝クラス,09,牝［指定］,16時45分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603030920260829%2FB1,ダート,,曇,定量
中京,PASS_HTML,1600,13,3歳以上,1勝クラス,2026-08-29,pw01sde1007202603031120260829,3歳以上1勝クラス,11,（混合）（特指）,17時45分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603031120260829%2F5B,芝,良,雨,定量
中京,QUARANTINED_HTML:track_condition,1800,14,3歳,未勝利,2026-08-29,pw01sde1007202603031220260829,3歳未勝利,12,（混合）［指定］,18時15分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603031220260829%2F10,ダート,,曇,馬齢
中京,PASS_HTML,1600,10,2歳,新馬,2026-08-30,pw01sde1007202603040220260830,メイクデビュー中京,02,（混合）［指定］,10時25分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603040220260830%2FE6,芝,良,晴,馬齢
中京,PASS_HTML,2000,11,2歳,新馬,2026-08-30,pw01sde1007202603040320260830,メイクデビュー中京,03,（混合）［指定］,10時55分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603040320260830%2F9B,芝,良,晴,馬齢
中京,QUARANTINED_HTML:track_condition,1400,16,3歳,未勝利,2026-08-30,pw01sde1007202603040420260830,3歳未勝利,04,[指定],11時25分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603040420260830%2F50,ダート,,晴,馬齢
中京,QUARANTINED_HTML:track_condition,1800,13,3歳以上,1勝クラス,2026-08-30,pw01sde1007202603040520260830,3歳以上1勝クラス,05,（混合）［指定］,11時55分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603040520260830%2F05,ダート,,曇,定量
中京,QUARANTINED_HTML:track_condition,1900,16,3歳以上,3勝クラス,2026-08-30,pw01sde1007202603040620260830,白川郷ステークス,06,（混合）［指定］,15時01分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603040620260830%2FBA,ダート,,晴,ハンデ
中京,PASS_HTML,1400,9,2歳,オープン,2026-08-30,pw01sde1007202603040720260830,中京2歳ステークス,07,（国際）（特指）,15時35分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603040720260830%2F6F,芝,良,晴,馬齢
中京,PASS_HTML,2200,15,3歳以上,2勝クラス,2026-08-30,pw01sde1007202603040820260830,熊野特別,08,（混合）（特指）,16時10分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603040820260830%2F24,芝,良,晴,定量
中京,PASS_HTML,2000,10,3歳以上,1勝クラス,2026-08-30,pw01sde1007202603041020260830,3歳以上1勝クラス,10,（混合）［指定］,17時15分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603041020260830%2FCE,芝,良,晴,定量
中京,QUARANTINED_HTML:track_condition,1800,15,3歳,未勝利,2026-08-30,pw01sde1007202603040920260830,3歳未勝利,09,牝［指定］,16時45分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603040920260830%2FD9,ダート,,晴,馬齢
中京,QUARANTINED_HTML:track_condition,1200,14,3歳以上,1勝クラス,2026-08-30,pw01sde1007202603041220260830,3歳以上1勝クラス,12,[指定],18時15分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603041220260830%2F38,ダート,,晴,定量
中京,PASS_HTML,1400,18,3歳,未勝利,2026-08-30,pw01sde1007202603041120260830,3歳未勝利,11,（混合）［指定］,17時45分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1007202603041120260830%2F83,芝,良,晴,馬齢
