body_weight_delta,carried_weight,corner_positions,course,data_status,distance_m,finish_position,horse_id,horse_name,horse_no,jockey,last3f,margin,meeting_day,meeting_no,popularity,race_category,race_class,race_date,race_id,race_name,race_no,race_rule,rating,scheduled_start,sex_age,source_url,surface,time,track_condition,trainer,weather,weight_rule,平均1F,枠
498(0),52.0,14  13  12  7,札幌,QUARANTINED_HTML:track_condition,1700,1,pw01dud102023101145/E8,プルーフリーディン,10,▲小林 美駒,36.9,,08,01,2,3歳,未勝利,2026-08-16,pw01sde0101202601080120260816,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,ダート,1:46.5,,小林 真也,晴,馬齢,,
460(-4),55.0,5  4  4  3,札幌,QUARANTINED_HTML:track_condition,1700,2,pw01dud102023105555/78,ウォータースパウト,3,吉田 隼人,38.2,３／４,08,01,5,3歳,未勝利,2026-08-16,pw01sde0101202601080120260816,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,ダート,1:46.6,,小笠 倫弘,晴,馬齢,,
448(+8),55.0,3  3  2  2,札幌,QUARANTINED_HTML:track_condition,1700,3,pw01dud102023104632/41,マスカルポーネ,14,斎藤 新,38.8,２ 1/2,08,01,7,3歳,未勝利,2026-08-16,pw01sde0101202601080120260816,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,ダート,1:47.0,,水野 貴広,晴,馬齢,,
452(+6),55.0,4  4  4  3,札幌,QUARANTINED_HTML:track_condition,1700,4,pw01dud102023104101/A9,テンレッドサン,1,坂井 瑠星,38.9,１ 1/2,08,01,3,3歳,未勝利,2026-08-16,pw01sde0101202601080120260816,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,ダート,1:47.3,,西園 翔太,晴,馬齢,,
412(-2),54.0,8  9  6  6,札幌,QUARANTINED_HTML:track_condition,1700,5,pw01dud102023100580/BE,セントピュアベース,8,☆舟山 瑠泉,38.8,１ 1/4,08,01,6,3歳,未勝利,2026-08-16,pw01sde0101202601080120260816,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,ダート,1:47.5,,藤野 健太,晴,馬齢,,
428(-2),52.0,1  1  1  1,札幌,QUARANTINED_HTML:track_condition,1700,6,pw01dud102023102063/E0,アリディプラチノ,9,▲大久保 友雅,39.4,クビ,08,01,11,3歳,未勝利,2026-08-16,pw01sde0101202601080120260816,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,ダート,1:47.5,,畑端 省吾,晴,馬齢,,
410(+8),55.0,11  11  8  7,札幌,QUARANTINED_HTML:track_condition,1700,7,pw01dud102023105608/B2,ルージュリヴィエラ,5,横山 和生,38.8,２ 1/2,08,01,1,3歳,未勝利,2026-08-16,pw01sde0101202601080120260816,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,ダート,1:47.9,,嘉藤 貴行,晴,馬齢,,
416(-2),55.0,6  6  6  7,札幌,QUARANTINED_HTML:track_condition,1700,8,pw01dud102023104415/18,アインプロージット,4,川又 賢治,40.0,５,08,01,14,3歳,未勝利,2026-08-16,pw01sde0101202601080120260816,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,ダート,1:48.7,,小笠 倫弘,晴,馬齢,,
410(-6),55.0,7  7  10  10,札幌,QUARANTINED_HTML:track_condition,1700,9,pw01dud102023100950/52,ハピネスドリーム,11,北村 友一,39.9,２ 1/2,08,01,9,3歳,未勝利,2026-08-16,pw01sde0101202601080120260816,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,ダート,1:49.1,,木村 哲也,晴,馬齢,,
452(-2),52.0,11  11  12  12,札幌,QUARANTINED_HTML:track_condition,1700,10,pw01dud102023106294/A1,イセッセイ,6,▲遠藤 汰月,40.2,４,08,01,13,3歳,未勝利,2026-08-16,pw01sde0101202601080120260816,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,ダート,1:49.8,,伊藤 伸一,晴,馬齢,,
