body_weight_delta,carried_weight,corner_positions,course,data_status,distance_m,finish_position,horse_id,horse_name,horse_no,jockey,last3f,margin,meeting_day,meeting_no,popularity,race_category,race_class,race_date,race_id,race_name,race_no,race_rule,scheduled_start,sex_age,source_url,surface,time,track_condition,trainer,weather,weight_rule,平均1F,枠
518(+12),57.0,7  7  7  5,札幌,QUARANTINED_HTML:track_condition,1700,3,pw01dud102023105838/44,ロードステラート,2,横山 和生,38.3,クビ,03,02,3,3歳,未勝利,2026-08-29,pw01sde0101202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602030120260829%2F3D,ダート,1:46.0,,武 英智,晴,馬齢,,
440(+6),55.0,11  11  9  8,札幌,QUARANTINED_HTML:track_condition,1700,4,pw01dud102023103191/4A,ワンダーアスク,6,川又 賢治,38.7,４,03,02,6,3歳,未勝利,2026-08-29,pw01sde0101202602030120260829,3歳未勝利,01,[指定],10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602030120260829%2F3D,ダート,1:46.6,,笹田 和秀,晴,馬齢,,
482(+10),57.0,9  9  10  8,札幌,QUARANTINED_HTML:track_condition,1700,5,pw01dud102023105726/1D,ゴールデンダガー,9,横山 琉人,38.8,１ 1/2,03,02,2,3歳,未勝利,2026-08-29,pw01sde0101202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602030120260829%2F3D,ダート,1:46.9,,中舘 英二,晴,馬齢,,
478(+6),57.0,5  6  5  3,札幌,QUARANTINED_HTML:track_condition,1700,6,pw01dud102023103483/B3,クールフィデル,10,落合 玄太,39.6,クビ,03,02,9,3歳,未勝利,2026-08-29,pw01sde0101202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602030120260829%2F3D,ダート,1:46.9,,和田 勇介,晴,馬齢,,
472(+2),57.0,7  7  7  8,札幌,QUARANTINED_HTML:track_condition,1700,7,pw01dud102023100531/E1,ショウナンタヅナ,4,池添 謙一,39.2,クビ,03,02,10,3歳,未勝利,2026-08-29,pw01sde0101202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602030120260829%2F3D,ダート,1:47.0,,武市 康男,晴,馬齢,,
450(-2),57.0,13  13  14  11,札幌,QUARANTINED_HTML:track_condition,1700,8,pw01dud102023102369/25,フロムザムーン,5,石川 倭,38.7,２ 1/2,03,02,8,3歳,未勝利,2026-08-29,pw01sde0101202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602030120260829%2F3D,ダート,1:47.4,,畑端 省吾,晴,馬齢,,
434(-2),57.0,11  11  11  11,札幌,QUARANTINED_HTML:track_condition,1700,9,pw01dud102023106595/A7,アイムスティルミー,8,古川 吉洋,39.2,クビ,03,02,11,3歳,未勝利,2026-08-29,pw01sde0101202602030120260829,3歳未勝利,01,[指定],10時00分,せん3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602030120260829%2F3D,ダート,1:47.4,,奥平 雅士,晴,馬齢,,
434(+6),53.0,4  5  5  5,札幌,QUARANTINED_HTML:track_condition,1700,10,pw01dud102023105144/31,アスコットダンス,3,◇古川 奈穂,40.2,３／４,03,02,12,3歳,未勝利,2026-08-29,pw01sde0101202602030120260829,3歳未勝利,01,[指定],10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602030120260829%2F3D,ダート,1:47.6,,高橋 康之,晴,馬齢,,
518(+2),57.0,1  1  2  3,札幌,QUARANTINED_HTML:track_condition,1700,11,pw01dud102023101979/6C,サンオブザサン,12,斎藤 新,40.9,２,03,02,4,3歳,未勝利,2026-08-29,pw01sde0101202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602030120260829%2F3D,ダート,1:47.9,,高橋 一哉,晴,馬齢,,
464(+2),57.0,14  13  13  11,札幌,QUARANTINED_HTML:track_condition,1700,12,pw01dud102023106570/48,メイショウタイザン,11,小沢 大仁,39.4,クビ,03,02,5,3歳,未勝利,2026-08-29,pw01sde0101202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602030120260829%2F3D,ダート,1:47.9,,高橋 義忠,晴,馬齢,,
